ForeFlight Logbook Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aircraft Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Text,Text,Text,YYYY,Text,Text,Text,Text,Text,Text,Boolean,Boolean,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AircraftID,EquipmentType,TypeCode,Year,Make,Model,Category,Class,GearType,EngineType,Complex,HighPerformance,Pressurized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8312T,aircraft,R22,,,Robinson R-22,rotorcraft,rotorcraft_helicopter,skids,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7529Z,aircraft,R22,,,Robinson R-22,rotorcraft,rotorcraft_helicopter,skids,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2774J,aircraft,C172,,Cessna,172,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKN,aircraft,C182,,,C-182,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N222AJ,,B47G,,,Bell 47,rotorcraft,rotorcraft_helicopter,skids,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4626V,,MOR2,,,Varga Kachina,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N44NR,,R44,,,Robinson R-44,rotorcraft,rotorcraft_helicopter,skids,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7196W,,R22,,,Robinson R-22,rotorcraft,rotorcraft_helicopter,skids,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N500BE,,R22,,,Robinson R-22,rotorcraft,rotorcraft_helicopter,skids,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N28PH,,R22,,,Robinson R-22,rotorcraft,rotorcraft_helicopter,skids,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N94594,,R22,,,Robinson R-22,rotorcraft,rotorcraft_helicopter,skids,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N505FP,,PA28,,,PA28R,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N57404,aircraft,BL8,,,7ECA,airplane,airplane_single_engine_land,fixed_tailwheel,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5635K,,BE33,,,BE33,airplane,airplane_single_engine_land,retractable_tricycle,Piston,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N324CP,,H269,,,Schweizer 300CBi,rotorcraft,rotorcraft_helicopter,skids,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N21819,,C172,,,C-172,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4371V,,PA32,,,PA32,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N83865,,7AC,,,Aeronca 7AC,airplane,airplane_single_engine_land,fixed_tailwheel,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5451H,,C172,,,C-172,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1283Q,,C150,,,C-150,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N10956,,C150,,,C-150,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N45649,,C150,,,C-150,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6HQ,,C206,,,C-206,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N238AT,,PA44,,,PA44,airplane,airplane_multi_engine_land,retractable_tricycle,Piston,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9839J,,C150,,,C-150,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1921W,,H269,,,Schweizer 300CBi,rotorcraft,rotorcraft_helicopter,skids,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7198A,,R22,,,Robinson R-22,rotorcraft,rotorcraft_helicopter,skids,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8277W,,P28T,,,PA28RT201T,airplane,airplane_single_engine_land,retractable_tricycle,Piston,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N10489,,C150,,,C-150,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1170C,,M20J,,,AST-300,simulator,full_flight_simulator,retractable_tricycle,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1839J,,C172,,,C-172,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4066S,,R22,,,Robinson R-22,rotorcraft,rotorcraft_helicopter,skids,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N88698,,J3,,,J-3 Cub,airplane,airplane_single_engine_land,fixed_tailwheel,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1560X,,H269,,,Schweizer 300CBi,rotorcraft,rotorcraft_helicopter,skids,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N11HK,,P28A,,,Piper Archer,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5035N,,BL8,,,8KCAB,airplane,airplane_single_engine_land,fixed_tailwheel,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9299P,,P46T,,,P46T DLX,airplane,airplane_single_engine_land,retractable_tricycle,Turboprop,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N812MB,,P46T,,,P46T DLX,airplane,airplane_single_engine_land,retractable_tricycle,Turboprop,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N747TH,,P46T,,,P46T DLX,airplane,airplane_single_engine_land,retractable_tricycle,Turboprop,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-CGMC,,P46T,,,P46T DLX,airplane,airplane_single_engine_land,retractable_tricycle,Turboprop,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N90SE,,P46T,,,P46T DLX,airplane,airplane_single_engine_land,retractable_tricycle,Turboprop,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N962DA,,P46T,,,P46T DLX,airplane,airplane_single_engine_land,retractable_tricycle,Turboprop,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N754MA,,PA46,,,PA46-310P,airplane,airplane_single_engine_land,retractable_tricycle,Piston,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8096R,,BE36,,,BE-36,airplane,airplane_single_engine_land,retractable_tricycle,Piston,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N19648,,C172,,,C-172,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N58515,,C206,,,C-206,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N66SB,,BE33,,,BE-36,airplane,airplane_single_engine_land,retractable_tricycle,Piston,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N58514,,C206,,,C-206,airplane,airplane_single_engine_land,fixed_tricycle,Piston,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N254AT,,PA44,,,PA44,airplane,airplane_multi_engine_land,retractable_tricycle,Piston,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
